record_id,declaration_timestamp,shipment_id,invoice_id,exporter_id,importer_id,destination_market,port_of_export,port_of_entry,product_family,hs_code,product_description,shipment_quantity,quantity_unit,shipment_value_usd,incoterm,transport_mode,declared_origin_country,country_of_export,country_of_last_substantial_transformation,production_method_tag,production_stage_country_1,production_stage_country_2,supplier_chain_depth,origin_certificate_available,origin_certificate_match_score,embedded_emissions_tco2e_per_tonne,emissions_estimation_method,electricity_source_tag,recycled_content_percent,plant_emissions_disclosure_available,sector_emissions_band,traceability_completeness_score,supplier_traceability_metadata_available,batch_lot_reference_available,production_site_identifier_available,supporting_document_count,document_consistency_score,is_problematic,anomaly_class,anomaly_count,risk_label,rule_flag_count,synthetic_record_type,injected_pattern
REC_6670bbe116,2026-01-13 12:43:18.897892,SHP_b6e9881c48,INV_2e6e181522,EXP_5d8cecdfe7,IMP_71b6339e49,EU,Vancouver,Hamburg,aluminium_ingot,7601,Unwrought aluminium ingot,193.52,tonnes,532318.23,DAP,sea,NO,SE,NO,primary,DE,FR,2,1.0,0.92,3.14,measured,grid,14.64,0,high,0.69,1,1,1,0,0.92,1,logical_inconsistency,1,high,0,perturbed,document_conflict
REC_16e2168d8c,2026-01-03 12:43:18.898725,SHP_d49fe04ccc,INV_42f050501a,EXP_d766d10c3b,IMP_aacd7819ff,Other,Jebel_Ali,Shanghai,aluminium_profile,7604,Aluminium profile,114.05,tonnes,320378.13,CIF,sea,ZA,NO,ZA,primary,TR,FR,1,1.0,0.86,9.06,measured,renewable,3.67,0,medium,0.75,1,1,1,6,0.86,0,none,0,low,0,compliant,none
REC_181097fd54,2025-09-13 12:43:18.898900,SHP_88835d41be,INV_0aeebb082a,EXP_cd9633c76f,IMP_93c4fc50d4,EU,Vancouver,Shanghai,aluminium_coil,7606,Aluminium coil,233.47,tonnes,728596.54,EXW,rail,BR,IN,BR,mixed,SE,BR,1,1.0,0.18,8.81,measured,grid,29.98,0,medium,0.87,0,1,1,3,0.99,1,documentation_quality,1,medium,0,perturbed,weak_origin_docs
REC_9cdd2cbee4,2025-09-17 12:43:18.899079,SHP_bff181909c,INV_1877049f71,EXP_9a08d62384,IMP_867ba61eb4,US,Felixstowe,Shanghai,aluminium_profile,7604,Aluminium profile,406.11,tonnes,1225576.39,FOB,rail,CA,TR,CA,primary,CA,NL,2,1.0,0.94,8.0,estimated,mixed,1.95,0,low,0.91,1,1,1,5,0.85,0,none,0,low,0,compliant,none
REC_473743485a,2025-04-09 12:43:18.899223,SHP_b0f61aed04,INV_dc05d308da,EXP_3c372fa24d,IMP_64c77d1866,US,Rotterdam,Felixstowe,aluminium_profile,7604,Aluminium profile,162.74,tonnes,550730.98,FOB,road,CA,BR,CA,primary,AE,NO,2,1.0,0.84,14.62,measured,grid,10.93,1,low,0.7,1,1,1,5,0.84,0,none,0,low,0,compliant,none
REC_a43c526bd6,2025-11-10 12:43:18.899437,SHP_aa20c80be9,INV_858cc45b7d,EXP_50925ac56a,IMP_7326210314,UK,Felixstowe,Vancouver,aluminium_profile,7604,Aluminium profile,169.41,tonnes,535462.89,EXW,rail,,IN,CA,mixed,ZA,AE,2,1.0,0.97,6.96,estimated,renewable,33.57,1,low,0.97,1,1,1,6,0.22,1,composite,2,high,0,composite,declared_origin_country;conflicting_documents
REC_4832f629e3,2025-06-15 12:43:18.899674,SHP_66629da213,INV_c5df159459,EXP_cc58271be7,IMP_95bf0822ca,EU,Hamburg,Vancouver,aluminium_ingot,7601,Unwrought aluminium ingot,388.4,tonnes,776301.17,EXW,rail,ZA,IN,ZA,primary,TR,FR,5,1.0,0.96,8.92,default,renewable,0.11,0,medium,0.76,0,1,1,2,0.82,1,logical_inconsistency,1,high,0,perturbed,traceability_conflict
REC_2a74045eb1,2025-05-02 12:43:18.899808,SHP_6a951a423a,INV_3eb5cbfe83,EXP_54ffc8e107,IMP_af85757058,UK,Antwerp,Jebel_Ali,aluminium_sheet,7606,Aluminium sheet,315.42,tonnes,829607.41,CIF,rail,FR,CA,FR,recycled,CN,DE,3,1.0,0.86,5.9,estimated,renewable,62.54,1,low,,1,1,1,2,0.82,1,missingness,1,medium,0,perturbed,traceability_completeness_score
REC_2f23cccdc4,2025-07-20 12:43:18.900011,SHP_a9663219f1,INV_87226eaf96,EXP_af8b51dcb0,IMP_1d26464782,EU,Vancouver,Antwerp,aluminium_sheet,7606,Aluminium sheet,382.78,tonnes,1121415.39,CIF,rail,ZA,FR,ZA,primary,IN,CN,1,1.0,0.9,8.27,measured,renewable,15.42,1,low,0.78,0,1,1,4,0.93,0,none,0,low,0,compliant,none
REC_3731f92169,2025-07-04 12:43:18.900164,SHP_32941b2902,INV_eb9026c6a0,EXP_f8eaf4d1b6,IMP_ea909aee6b,Other,Hamburg,Felixstowe,aluminium_profile,7604,Aluminium profile,259.2,tonnes,1047910.09,CIF,sea,CA,TR,CA,mixed,TR,DE,4,1.0,0.88,28.04,estimated,mixed,32.46,0,high,0.81,1,1,1,3,0.93,1,plausibility,1,high,0,perturbed,emissions_outlier
