record_id,declaration_timestamp,shipment_id,invoice_id,exporter_id,importer_id,destination_market,port_of_export,port_of_entry,product_family,hs_code,product_description,shipment_quantity,quantity_unit,shipment_value_usd,incoterm,transport_mode,declared_origin_country,country_of_export,country_of_last_substantial_transformation,production_method_tag,production_stage_country_1,production_stage_country_2,supplier_chain_depth,origin_certificate_available,origin_certificate_match_score,embedded_emissions_tco2e_per_tonne,emissions_estimation_method,electricity_source_tag,recycled_content_percent,plant_emissions_disclosure_available,sector_emissions_band,traceability_completeness_score,supplier_traceability_metadata_available,batch_lot_reference_available,production_site_identifier_available,supporting_document_count,document_consistency_score,is_problematic,anomaly_class,anomaly_count,risk_label,rule_flag_count,synthetic_record_type,injected_pattern
REC_085b779547,2026-02-24 10:25:46.999025,SHP_f8cc05e20b,INV_22ad929608,EXP_f041540a65,IMP_a2f7772413,EU,Vancouver,Hamburg,aluminium_ingot,7601,Unwrought aluminium ingot,193.52,tonnes,532318.23,DAP,sea,NO,SE,BR,primary,DE,FR,2,0,0.81,7.67,measured,mixed,14.64,0,high,0.57,1,1,1,3,0.99,1,logical_inconsistency,1,low,0,compliant,none
REC_5a71331478,2026-02-14 10:25:46.999025,SHP_57212fdfd2,INV_6956f1b324,EXP_e90019d769,IMP_5712dc1fff,Other,Jebel_Ali,Shanghai,aluminium_profile,7604,Aluminium profile,114.05,tonnes,320378.13,CIF,sea,ZA,NO,ZA,primary,TR,FR,1,0,0.9,6.69,default,grid,3.67,1,medium,0.75,1,1,1,2,0.86,0,none,0,low,0,compliant,none
REC_6c21ad78b4,2025-06-19 10:25:46.999025,SHP_9de16fbf1d,INV_cef41f7748,EXP_f24ef3b0bb,IMP_d65605d777,US,Santos,Felixstowe,aluminium_profile,7604,Aluminium profile,233.47,tonnes,895310.55,FOB,sea,AE,FR,AE,recycled,CA,SE,3,1,0.92,8.66,measured,grid,67.99,0,medium,0.87,1,1,1,4,0.89,0,none,0,low,0,compliant,none
REC_b334739ad9,2025-11-06 10:25:46.999025,SHP_0e0ab92967,INV_79e0a9ba9f,EXP_9d39f2d829,IMP_d8609bc89a,UK,Shanghai,Hamburg,aluminium_profile,7604,Aluminium profile,252.64,tonnes,646369.46,CIF,rail,TR,NL,TR,recycled,BR,SE,3,0,0.93,5.59,default,renewable,96.37,1,high,,1,1,1,6,0.99,1,missingness,1,low,0,compliant,none
REC_5f8c9279c5,2025-11-26 10:25:46.999025,SHP_71e4a9666f,INV_db5c525417,EXP_5dbbc8ae60,IMP_71d49c55a7,Other,Shanghai,Hamburg,aluminium_coil,7606,Aluminium coil,470.35,tonnes,1534881.66,CIF,rail,DE,SE,DE,mixed,BR,TR,1,0,0.88,12.54,estimated,renewable,49.89,1,high,0.84,1,1,1,3,0.91,0,none,0,low,0,compliant,none
REC_fa5c7bca92,2025-07-11 10:25:47.000039,SHP_cceccc3783,INV_db1ba68229,EXP_a953b2062f,IMP_51bf1c2578,Other,Santos,Mumbai,aluminium_coil,7606,Aluminium coil,403.08,tonnes,885532.84,EXW,sea,BR,CN,BR,primary,NL,CN,3,1,0.84,11.41,measured,grid,19.74,0,low,0.75,1,1,1,3,0.87,0,none,0,low,0,compliant,none
REC_a616ffd886,2025-08-09 10:25:47.000039,SHP_3103918330,INV_4944f660f1,EXP_b1977cd3c2,IMP_83b2e7efac,US,Vancouver,Rotterdam,aluminium_profile,7604,Aluminium profile,432.92,tonnes,1541024.98,FOB,rail,AE,AE,AE,recycled,CN,NO,4,1,0.95,2.74,measured,renewable,73.24,1,low,,1,1,1,5,0.94,1,missingness,1,low,0,compliant,none
REC_f70e264f5e,2025-06-20 10:25:47.000039,SHP_d00199a7ba,INV_231e0cc968,EXP_752ac38696,IMP_413f4d85a1,US,Vancouver,Santos,aluminium_coil,7606,Aluminium coil,285.03,tonnes,884236.41,CIF,sea,NL,CN,NL,mixed,TR,NL,1,0,0.89,8.51,estimated,renewable,44.69,1,low,0.84,0,1,1,4,0.98,0,none,0,low,0,compliant,none
REC_2788cfbcc1,2026-03-24 10:25:47.000039,SHP_8052e0624d,INV_e1ed77cf5b,EXP_311f100053,IMP_a7e7818272,Other,Hamburg,Vancouver,aluminium_coil,7606,Aluminium coil,211.09,tonnes,650625.08,CIF,sea,SE,ZA,SE,primary,CA,IN,1,0,0.99,15.27,default,mixed,4.58,1,low,0.63,0,1,1,4,0.84,1,plausibility,1,low,0,compliant,none
REC_8165dff6f8,2025-08-15 10:25:47.000039,SHP_399e7368d5,INV_249bd1bb4b,EXP_eb8649582f,IMP_fe98785489,Other,Hamburg,Felixstowe,aluminium_profile,7604,Aluminium profile,405.65,tonnes,1632074.04,CIF,sea,CA,TR,CA,mixed,TR,DE,4,0,0.85,4.04,estimated,grid,35.9,0,low,0.89,1,1,1,2,0.9,0,none,0,low,0,compliant,none
